ID,Predict
0,92
1,-1
2,31
3,23
4,38
5,-1
6,-1
7,13
8,-1
9,-1
10,38
11,-1
12,-1
13,56
14,94
15,82
16,84
17,49
18,-1
19,-1
20,83
21,5
22,-1
23,-1
24,6 14 26 70 71
25,-1
26,35
27,-1
28,-1
29,-1
30,-1
31,-1
32,52 65
33,84
34,-1
35,-1
36,-1
37,-1
38,-1
39,-1
40,-1
41,-1
42,-1
43,-1
44,-1
45,54
46,-1
47,10
48,6
49,-1
50,42
51,60
52,-1
53,-1
54,-1
55,-1
56,-1
57,-1
58,-1
59,29
60,-1
61,-1
62,66
63,-1
64,-1
65,-1
66,-1
67,-1
68,-1
69,59
70,-1
71,96
72,-1
73,-1
74,-1
75,80
76,-1
77,-1
78,-1
79,-1
80,-1
81,20
82,10
83,-1
84,41
85,60
86,-1
87,-1
88,-1
89,65
90,12 37
91,-1
92,-1
93,-1
94,-1
95,-1
96,67
97,-1
98,-1
99,10 92
100,-1
101,-1
102,6 71
103,77
104,-1
105,75
106,-1
107,-1
108,-1
109,-1
110,-1
111,-1
112,27
113,-1
114,-1
115,-1
116,-1
117,0 34
118,-1
119,93
120,-1
121,-1
122,-1
123,-1
124,-1
125,-1
126,3 72
127,85 96
128,47
129,5
130,-1
131,-1
132,-1
133,-1
134,-1
135,-1
136,-1
137,60
138,-1
139,22
140,-1
141,-1
142,-1
143,-1
144,-1
145,-1
146,-1
147,-1
148,-1
149,-1
150,-1
151,97
152,-1
153,84
154,-1
155,-1
156,3
157,69
158,58
159,30
160,-1
161,-1
162,3 58
163,78
164,5
165,-1
166,-1
167,-1
168,-1
169,-1
170,-1
171,20 54
172,-1
173,67
174,60
175,-1
176,-1
177,-1
178,-1
179,-1
180,-1
181,62
182,-1
183,-1
184,-1
185,-1
186,-1
187,-1
188,84
189,-1
190,-1
191,54
192,-1
193,-1
194,60
195,58
196,12
197,-1
198,12 86
199,-1
200,93
201,-1
202,-1
203,-1
204,57 68 98
205,-1
206,26 38
207,-1
208,-1
209,-1
210,28
211,-1
212,23
213,37
214,-1
215,-1
216,-1
217,-1
218,20 29
219,-1
220,-1
221,58
222,94
223,13
224,53
225,-1
226,-1
227,-1
228,-1
229,-1
230,-1
231,-1
232,60
233,-1
234,39
235,-1
236,54
237,-1
238,37 65
239,10 92
240,-1
241,-1
242,-1
243,-1
244,-1
245,74
246,-1
247,-1
248,54
249,-1
250,-1
251,33
252,-1
253,49
254,9 25 30 82
255,54
256,47 96
257,-1
258,-1
259,-1
260,-1
261,-1
262,-1
263,10
264,36 42
265,-1
266,-1
267,-1
268,-1
269,-1
270,98
271,-1
272,83 97
273,-1
274,92
275,-1
276,-1
277,-1
278,-1
279,-1
280,-1
281,-1
282,-1
283,-1
284,36 42
285,59
286,37
287,-1
288,-1
289,-1
290,45
291,-1
292,5
293,-1
294,47
295,-1
296,-1
297,56
298,-1
299,-1
300,-1
301,6 71
302,-1
303,-1
304,83 97
305,-1
306,-1
307,-1
308,-1
309,-1
310,-1
311,-1
312,33
313,-1
314,-1
315,79
316,-1
317,-1
318,-1
319,86
320,36
321,-1
322,-1
323,-1
324,43
325,69
326,16
327,3 72
328,-1
329,37
330,-1
331,-1
332,-1
333,-1
334,66
335,98
336,-1
337,-1
338,12
339,67
340,13
341,26 81
342,-1
343,-1
344,37
345,-1
346,-1
347,-1
348,-1
349,24
350,-1
351,-1
352,-1
353,51
354,9 30
355,-1
356,-1
357,-1
358,-1
359,-1
360,30
361,78
362,49
363,-1
364,-1
365,84
366,-1
367,-1
368,10
369,-1
370,16
371,-1
372,-1
373,67
374,23
375,-1
376,30
377,-1
378,25
379,-1
380,-1
381,-1
382,-1
383,-1
384,-1
385,-1
386,47
387,62
388,-1
389,-1
390,37
391,54
392,-1
393,-1
394,60
395,24
396,-1
397,-1
398,-1
399,-1
400,-1
401,-1
402,78
403,57
404,-1
405,30
406,-1
407,-1
408,74
409,47 96
410,-1
411,-1
412,30
413,-1
414,36
415,-1
416,54
417,-1
418,12
419,26 38
420,-1
421,67
422,29
423,-1
424,84
425,49
426,6
427,3
428,22 27 31 42 48 58 67 74 75 81 90
429,-1
430,-1
431,-1
432,6 71
433,-1
434,-1
435,-1
436,-1
437,-1
438,36 42
439,72
440,-1
441,-1
442,-1
443,-1
444,-1
445,-1
446,0 34
447,-1
448,-1
449,47
450,63
451,16
452,-1
453,-1
454,84
455,6 50 71
456,5
457,59
458,10
459,-1
460,-1
461,-1
462,37
463,-1
464,-1
465,78
466,-1
467,-1
468,-1
469,94
470,-1
471,18 77
472,-1
473,-1
474,60
475,-1
476,-1
477,-1
478,-1
479,45
480,-1
481,-1
482,-1
483,-1
484,-1
485,37
486,-1
487,3
488,-1
489,-1
